Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.7389450073242188	0	7.1056337	4.3047757	29.0	2.0	7.105633802816901	4.304775838627281	2018	2018
2.6685309410095215	1	8.383333	4.82387	29.0	3.0	8.383333333333333	4.8238700461581905	2012	4030
3.574583053588867	2	9.733009	6.1321673	36.0	3.0	9.733009708737864	6.132167110078227	2005	6035
4.46659517288208	3	11.445714	7.568822	42.0	3.0	11.445714285714285	7.568821114362824	2003	8038
5.382551193237305	4	13.902778	8.620324	44.0	3.0	13.902777777777779	8.620324372316313	2002	10040
6.35499119758606	5	18.394495	12.379339	64.0	5.0	18.394495412844037	12.379339364199355	2005	12045
7.284544944763184	6	22.58427	12.315888	73.0	7.0	22.584269662921347	12.31588814788045	2010	14055
8.26705002784729	7	29.485714	16.739809	79.0	5.0	29.485714285714284	16.739809571491424	2064	16119
9.191830158233643	8	34.25424	18.400068	92.0	8.0	34.25423728813559	18.400067446761962	2021	18140
10.081341981887817	9	43.54348	19.681934	84.0	13.0	43.54347826086956	19.681934468528254	2003	20143
10.956279993057251	10	58.941177	24.844152	119.0	13.0	58.94117647058823	24.84415089935727	2004	22147
11.840543985366821	11	61.060608	17.75411	136.0	22.0	61.06060606060606	17.75411073857373	2015	24162
12.725491046905518	12	89.91304	27.485826	149.0	50.0	89.91304347826087	27.485827246653727	2068	26230
13.602567911148071	13	92.13636	24.818058	143.0	44.0	92.13636363636364	24.81805694274278	2027	28257
14.483737230300903	14	92.22727	30.948538	165.0	45.0	92.22727272727273	30.948537662886018	2029	30286
15.358894109725952	15	100.45	34.980675	199.0	54.0	100.45	34.98067323537384	2009	32295
16.233692169189453	16	143.0	63.25346	249.0	59.0	143.0	63.25345840347388	2002	34297
17.158319234848022	17	153.07143	65.50187	303.0	85.0	153.07142857142858	65.50186942339268	2143	36440
18.021782159805298	18	182.0	41.774284	249.0	128.0	182.0	41.774285261281356	2002	38442
18.89218521118164	19	119.882355	18.69848	160.0	84.0	119.88235294117646	18.698481702883782	2038	40480
19.776868104934692	20	108.52631	19.052195	139.0	62.0	108.52631578947368	19.052195400648387	2062	42542
20.67536997795105	21	99.42857	25.274817	181.0	46.0	99.42857142857143	25.274816053348683	2088	44630
21.568242073059082	22	97.95238	27.67064	158.0	47.0	97.95238095238095	27.670641465151665	2057	46687
22.46087098121643	23	103.15	25.753202	151.0	42.0	103.15	25.753203684202088	2063	48750
23.351415157318115	24	130.125	42.836716	217.0	46.0	130.125	42.83671760300969	2082	50832
24.21962594985962	25	169.75	53.248043	229.0	66.0	169.75	53.24804378253408	2037	52869
25.213674068450928	26	329.2857	121.586784	549.0	162.0	329.2857142857143	121.5867876817852	2305	55174
26.099967002868652	27	186.18182	54.449005	292.0	96.0	186.1818181818182	54.449005637165065	2048	57222
26.967327117919922	28	125.875	18.976547	167.0	97.0	125.875	18.976548026445695	2014	59236
27.821269035339355	29	100.55	14.179122	140.0	78.0	100.55	14.17912197563728	2011	61247
28.722732067108154	30	97.38095	11.043103	122.0	63.0	97.38095238095238	11.043102525046338	2045	63292
29.623149156570435	31	105.1	10.516178	123.0	87.0	105.1	10.51617801294748	2102	65394
30.49025797843933	32	133.73334	23.710663	174.0	98.0	133.73333333333332	23.710663330146538	2006	67400
31.42438817024231	33	218.7	27.759863	268.0	177.0	218.7	27.759863112054422	2187	69587
32.361401081085205	34	538.25	56.113167	594.0	455.0	538.25	56.11316690403421	2153	71740
33.45637512207031	35	632.25	237.57774	928.0	268.0	632.25	237.57775043130619	2529	74269
34.37319612503052	36	513.75	150.09227	701.0	357.0	513.75	150.09226329161675	2055	76324
35.33472990989685	37	551.75	255.58597	976.0	335.0	551.75	255.58596890283317	2207	78531
36.29114127159119	38	280.875	114.63141	483.0	93.0	280.875	114.63140658214049	2247	80778
37.27025008201599	39	280.375	109.386856	453.0	126.0	280.375	109.38685650022127	2243	83021
38.2569420337677	40	328.14285	127.17977	462.0	150.0	328.14285714285717	127.17976992254319	2297	85318
39.215920209884644	41	273.75	124.52083	516.0	107.0	273.75	124.5208315905415	2190	87508
40.166696071624756	42	369.5	197.55907	693.0	124.0	369.5	197.55906289849963	2217	89725
41.133583068847656	43	223.5	113.86154	464.0	95.0	223.5	113.86153872137861	2235	91960
42.03424787521362	44	209.1	90.798065	451.0	124.0	209.1	90.79807266676974	2091	94051
42.991931200027466	45	279.75	66.04875	429.0	215.0	279.75	66.04875093444235	2238	96289
44.25245428085327	46	589.0	294.1374	1000.0	154.0	589.0	294.13738286725817	2945	99234
45.453190088272095	47	920.3333	112.66568	1000.0	761.0	920.3333333333334	112.66568046905658	2761	101995
46.597880125045776	48	861.6667	195.63287	1000.0	585.0	861.6666666666666	195.63287612827813	2585	104580
47.78176689147949	49	902.6667	137.65012	1000.0	708.0	902.6666666666666	137.65012007098125	2708	107288
48.68937301635742	50	507.25	74.47273	607.0	397.0	507.25	74.47272990833625	2029	109317
49.641600131988525	51	218.8	29.369373	272.0	179.0	218.8	29.369371801249002	2188	111505
50.51872515678406	52	200.5	16.298773	227.0	173.0	200.5	16.29877295995008	2005	113510
51.42323398590088	53	175.5	22.054855	220.0	141.0	175.5	22.0548558523212	2106	115616
52.35770010948181	54	166.92308	11.887042	189.0	143.0	166.92307692307693	11.887042321281143	2170	117786
53.26855802536011	55	176.0	13.057565	206.0	160.0	176.0	13.057564857200596	2112	119898
54.18795919418335	56	191.90909	19.869825	248.0	167.0	191.9090909090909	19.869824291003983	2111	122009
55.091992139816284	57	262.25	26.980316	315.0	217.0	262.25	26.980316899547343	2098	124107
56.11599016189575	58	800.0	208.11696	1000.0	513.0	800.0	208.116954298939	2400	126507
57.401204109191895	59	1000.0	0.0	1000.0	1000.0	1000.0	0.0	3000	129507
58.69880819320679	60	1000.0	0.0	1000.0	1000.0	1000.0	0.0	3000	132507
60.05621910095215	61	1000.0	0.0	1000.0	1000.0	1000.0	0.0	3000	135507
61.37810206413269	62	1000.0	0.0	1000.0	1000.0	1000.0	0.0	3000	138507
